X,Y,OBJECTID,APN,TAX_RATE_AREA,SITUS_HOUSE_NUMBER,SITUS_HOUSE_NUMBER_SUFFIX,SITUS_STREET_DIRECTION,SITUS_STREET_NAME,SITUS_STREET_TYPE,SITUS_UNIT_NUMBER,SITUS_CITY_NAME,SITUS_STATE_CODE,SITUS_ZIP_CODE,NUMBER_OF_SITUS_ADDRESS,PARCELTYPE,LASTPARUPDATE,SITEADDRESS,Shape_Length,Shape_Area,School_Daycare
6099302.51234853,1976352.15358453,15613,15307001,5010,2040,,W,MIDDLEFIELD,RD,1,MOUNTAIN VIEW,CA,94043-2859,1,APAR,FY2019Q2,2040 W MIDDLEFIELD RD 1,185.831338709372,1441.36638977801,1
6099074.6265032,1975805.28263159,16046,15044002,5010,453,,N,RENGSTORFF,AV,2,MOUNTAIN VIEW,CA,94043-2843,1,APAR,FY2019Q2,453 N RENGSTORFF AV 2,131.25821775921,849.490110858096,1
6099117.19345496,1975785.96180387,16165,15044003,5010,453,,N,RENGSTORFF,AV,3,MOUNTAIN VIEW,CA,94043-2843,1,APAR,FY2019Q2,453 N RENGSTORFF AV 3,132.376455062323,861.447132669451,1
6099157.43132153,1975763.54518115,16166,15044004,5010,453,,N,RENGSTORFF,AV,4,MOUNTAIN VIEW,CA,94043-2843,1,APAR,FY2019Q2,453 N RENGSTORFF AV 4,130.799248873342,844.02769586166,1
6099199.66489187,1975742.53669298,16167,15044005,5010,453,,N,RENGSTORFF,AV,5,MOUNTAIN VIEW,CA,94043-2843,1,APAR,FY2019Q2,453 N RENGSTORFF AV 5,134.080735084561,873.21313467885,1
6099189.53180323,1975841.18265711,16172,15044016,5010,453,,N,RENGSTORFF,AV,16,MOUNTAIN VIEW,CA,94043-2844,1,APAR,FY2019Q2,453 N RENGSTORFF AV 16,133.110371076771,954.837956857752,1
6099218.65455694,1975823.20762652,16173,15044017,5010,453,,N,RENGSTORFF,AV,17,MOUNTAIN VIEW,CA,94043-2844,1,APAR,FY2019Q2,453 N RENGSTORFF AV 17,134.586573762645,972.85317735962,1
6099250.24506527,1975809.09512285,16174,15044018,5010,453,,N,RENGSTORFF,AV,18,MOUNTAIN VIEW,CA,94043-2844,1,APAR,FY2019Q2,453 N RENGSTORFF AV 18,134.995297851213,979.027326019586,1
6099279.53585206,1975791.24935711,16175,15044019,5010,453,,N,RENGSTORFF,AV,19,MOUNTAIN VIEW,CA,94043-2844,1,APAR,FY2019Q2,453 N RENGSTORFF AV 19,133.225893941281,950.755781314662,1
6101146.2568138,1960662.43676794,43979,19329012,5000,1885,,,MIRAMONTE,AV,,MOUNTAIN VIEW,CA,94040-4029,1,PAR,FY2019Q2,1885 MIRAMONTE AV,4509.72011878361,1097102.71151447,1
6100814.49613519,1962719.90230512,53550,19320005,5000,1667,,,MIRAMONTE,AV,,MOUNTAIN VIEW,CA,94040-3051,1,PAR,FY2019Q2,1667 MIRAMONTE AV,1862.40934103465,209454.812060805,1
6106845.88850603,1972312.29109233,55391,16023002,5010,,,,,,,,,,0,PAR,FY2019Q2,,950.592438809379,48745.3133298813,1
6093798.36419773,1974811.35761615,59667,14815013,5009,,,,,,,,,,0,PAR,FY2019Q2,,1381.40154930982,71828.5466910991,1
6097266.47514386,1975334.5576861,59913,14729046,5010,460,,,THOMPSON,AV,,MOUNTAIN VIEW,CA,94043-2740,1,PAR,FY2019Q2,460 THOMPSON AV,2657.95158489819,429805.878727793,1
6100046.13227757,1963637.7908894,67271,18905009,5000,945,,,BARBARA,AV,,MOUNTAIN VIEW,CA,94040-3017,1,PAR,FY2019Q2,945 BARBARA AV,433.126721922725,11003.8720688402,1
6100806.88982113,1965045.96819201,69932,19301002,5000,,,,,,,,,,0,PAR,FY2019Q2,,1481.19844946147,120112.370945794,1
6106936.32971249,1957491.5992776,72593,19706003,5009,,,,,,,,,,0,PAR,FY2019Q2,,1950.46085932188,221638.237734611,1
6098803.57799632,1970139.73687454,73465,15422037,5000,500,,,TOFT,ST,,MOUNTAIN VIEW,CA,94040-2006,2,PAR,FY2019Q2,500 TOFT ST,2866.28857121929,408508.788259502,1
6102309.64895206,1973691.99092545,78041,15030029,5010,757,,,SAN CLEMENTE,WY,,MOUNTAIN VIEW,CA,94043-3120,1,PAR,FY2019Q2,757 SAN CLEMENTE WY,331.426669457196,6587.47906326452,1
6097653.04325002,1968474.96166089,79773,17007051,5000,1840,,,ANTHONY,CT,,MOUNTAIN VIEW,CA,94040-2301,1,PAR,FY2019Q2,1840 ANTHONY CT,411.897130787895,8261.86916352563,1
6097223.98401333,1977709.94515972,80261,14705101,5010,2484,,,OLD MIDDLEFIELD,WY,,MOUNTAIN VIEW,CA,94043-2317,2,PAR,FY2019Q2,2484 OLD MIDDLEFIELD WY,866.08600424081,36591.306238401,1
6103616.53745496,1970656.61182548,93460,15844004,5000,223,,,MOFFETT,BL,,MOUNTAIN VIEW,CA,94043-4723,2,PAR,FY2019Q2,223 MOFFETT BL,405.365881283074,9769.8642803939,1
6102417.39799774,1962795.04109851,99172,19317014,5000,1614,,,BONITA,AV,,MOUNTAIN VIEW,CA,94040-3730,1,PAR,FY2019Q2,1614 BONITA AV,326.857175485927,6430.15536171479,1
6104197.67381896,1966770.45358642,100677,15826041,5000,171,,,GARY,CT,,MOUNTAIN VIEW,CA,94041-2223,1,PAR,FY2019Q2,171 GARY CT,347.702165807695,6216.04356545202,1
6098802.43058021,1978569.83681263,103382,14706028,5010,914,,N,RENGSTORFF,AV,,MOUNTAIN VIEW,CA,94043-1714,2,PAR,FY2019Q2,914 N RENGSTORFF AV,1016.83739666626,49834.5214704574,1
6099024.78607107,1968657.11172365,109112,15434031,5000,1616,,W,EL CAMINO REAL,,,MOUNTAIN VIEW,CA,94040-2453,1,PAR,FY2019Q2,1616 W EL CAMINO REAL,1012.41482581501,36859.7065608625,1
6103119.70670911,1972321.92427587,110403,15325005,5010,462,,,STIERLIN,RD,,MOUNTAIN VIEW,CA,94043-4622,2,PAR,FY2019Q2,462 STIERLIN RD,629.985227316288,20967.5239601965,1
6101617.4552557,1964018.39101403,112514,19310016,5000,660,,,BARBARA,AV,,MOUNTAIN VIEW,CA,94040,1,PAR,FY2019Q2,660 BARBARA AV,1766.43108363067,155118.677584136,1
6101853.67275352,1971882.97846769,121235,15022020,5010,295,,,POLARIS,AV,,MOUNTAIN VIEW,CA,94043-4514,1,PAR,FY2019Q2,295 POLARIS AV,543.390623001529,16312.3943940073,1
6107756.47835091,1962917.92438293,126115,19807001,5000,951,,,DALE,AV,,MOUNTAIN VIEW,CA,94040-2801,1,PAR,FY2019Q2,951 DALE AV,563.779153888853,19693.7457003653,1
6098090.66283462,1969689.43265748,132160,15435011,5000,675,,,ESCUELA,AV,,MOUNTAIN VIEW,CA,94040-2008,1,PAR,FY2019Q2,675 ESCUELA AV,332.00391397707,6105.27568964217,1
6096613.61965663,1968673.30772173,135670,17009008,5000,1078,,,CLARK,AV,,MOUNTAIN VIEW,CA,94040-2211,1,PAR,FY2019Q2,1078 CLARK AV,314.171703664991,6035.22025423215,1
6106204.32097392,1957009.49935597,148349,19706001,5009,1299,,,BRYANT,AV,,MOUNTAIN VIEW,CA,94040,1,PAR,FY2019Q2,1299 BRYANT AV,5081.60908780326,1411332.92167372,1
6105146.51053046,1973790.19512523,151475,15321016,5010,768,,,SAN CARLOS,AV,,MOUNTAIN VIEW,CA,94043-1907,1,PAR,FY2019Q2,768 SAN CARLOS AV,332.780302414691,6470.91814594634,1
6107261.86705742,1957688.65761053,154262,19706004,5009,,,,,,,,,,0,PAR,FY2019Q2,,1067.52375342774,56264.5769244231,1
6106369.18202501,1971665.67854048,154769,16023005,5010,302,,,EASY,ST,,MOUNTAIN VIEW,CA,94043-3765,1,PAR,FY2019Q2,302 EASY ST,1810.26821445563,147815.579613787,1
6098455.41651742,1975155.46601605,157502,14724059,5010,2321,,,JANE,LN,,MOUNTAIN VIEW,CA,94043-2722,1,PAR,FY2019Q2,2321 JANE LN,322.496047354713,6293.97173873292,1
6108386.03363437,1973396.92852312,161653,16011025,5000,532,,,DEVONSHIRE,CT,,MOUNTAIN VIEW,CA,94043,1,PAR,FY2019Q2,532 DEVONSHIRE CT,231.930036821904,3170.15091007233,1
6097521.43576761,1974230.00756581,175854,14735036,5010,174,,,PALMER,AV,,MOUNTAIN VIEW,CA,94043-4212,1,PAR,FY2019Q2,174 PALMER AV,350.237991066787,7157.16873483798,1
6101335.20069074,1965348.34931215,180764,19301003,5000,,,,,,,,,,0,PAR,FY2019Q2,,3659.87352037539,746220.788368937,1
6101250.33741056,1969808.53674931,182667,15408035,5000,1281,,W,DANA,ST,,MOUNTAIN VIEW,CA,94041-1101,4,PAR,FY2019Q2,1281 W DANA ST,1499.11183974272,103316.971518995,1
6100218.77551349,1966643.70334867,190270,18903025,5000,1120,,,MIRAMONTE,AV,,MOUNTAIN VIEW,CA,94040-2941,1,PAR,FY2019Q2,1120 MIRAMONTE AV,2321.02081566657,335746.938484498,1
6102286.70356585,1976728.53668948,191015,15312050,5010,1602,,,SPRING,ST,,MOUNTAIN VIEW,CA,94043-1814,1,PAR,FY2019Q2,1602 SPRING ST,342.740109231492,6443.0660134248,1
6105345.35212643,1966467.07017177,204262,15828067,5000,56,,,PAUL,AV,,MOUNTAIN VIEW,CA,94041-2234,1,PAR,FY2019Q2,56 PAUL AV,321.273017544166,6111.90611519285,1
6107969.84120877,1966449.13270737,214909,16105004,5000,317,,,MOORPARK,WY,,MOUNTAIN VIEW,CA,94041-1621,1,PAR,FY2019Q2,317 MOORPARK WY,713.004111428983,18680.1222724154,1
6100233.11469948,1961936.69931129,223651,18906095,5009,1720,,,MIRAMONTE,AV,,MOUNTAIN VIEW,CA,94040-3763,29,PAR,FY2019Q2,1720 MIRAMONTE AV,2217.09279835342,297038.883155655,1
6105222.9204323,1967581.05350855,224916,15831028,5000,115,,W,DANA,ST,,MOUNTAIN VIEW,CA,94041-1406,1,PAR,FY2019Q2,115 W DANA ST,2664.18363825169,441245.818415884,1
6108092.46841345,1970772.31599008,227579,16028002,5000,205,,E,MIDDLEFIELD,RD,,MOUNTAIN VIEW,CA,94043-3909,3,PAR,FY2019Q2,205 E MIDDLEFIELD RD,1171.52464577694,81292.5749709427,1
6100242.42193657,1959700.91999068,230599,18909071,5009,2050,,,MIRAMONTE,AV,,MOUNTAIN VIEW,CA,94040-4064,1,PAR,FY2019Q2,2050 MIRAMONTE AV,1701.87852758897,76377.5982064973,1
6100209.20212195,1969614.3368431,238177,15423058,5000,469,,,PETTIS,AV,,MOUNTAIN VIEW,CA,94041-1829,1,PAR,FY2019Q2,469 PETTIS AV,408.015442763192,7700.40320462856,1
6106903.38267486,1963799.92015873,239882,16109009,5000,833,,,BOURBON,CT,,MOUNTAIN VIEW,CA,94041-2570,1,PAR,FY2019Q2,833 BOURBON CT,412.501089440597,7266.31772660474,1
6097883.02976524,1977754.2159046,240821,14707061,5010,827,,,INDEPENDENCE,AV,,MOUNTAIN VIEW,CA,94043-2301,1,PAR,FY2019Q2,827 INDEPENDENCE AV,443.38414381089,12288.3009059055,1
6106427.99327748,1964845.81193135,246612,16103007,5000,803,,,ALICE,AV,,MOUNTAIN VIEW,CA,94041-2439,1,PAR,FY2019Q2,803 ALICE AV,393.484713399503,8874.31589960965,1
6103769.73502989,1970945.40767177,248186,15844010,5010,265,,,MOFFETT,BL,,MOUNTAIN VIEW,CA,94043-4723,1,PAR,FY2019Q2,265 MOFFETT BL,353.977446109639,6226.0643106757,1
6096105.83987704,1968545.60341627,249325,17009068,5000,1130,,,MORTON,CT,,MOUNTAIN VIEW,CA,94040-2230,1,PAR,FY2019Q2,1130 MORTON CT,308.290989271598,5874.33699575963,1
6106281.17424307,1972066.6491958,266914,16023004,5010,310,,,EASY,ST,,MOUNTAIN VIEW,CA,94043-3711,1,PAR,FY2019Q2,310 EASY ST,3182.89848223486,529340.154791036,1
6102978.84344864,1962076.80352633,267346,19323010,5000,2094,,,GRANT,RD,,MOUNTAIN VIEW,CA,94040-3802,1,PAR,FY2019Q2,2094 GRANT RD,1544.69304363536,102018.820255115,1
